Username,DrawAllocationSnippet1Response,DrawAllocationSnippet1TimeStamp,DrawAllocationSnippet1Comment,DrawAllocationSnippet1Status,DrawAllocationSnippet2Response,DrawAllocationSnippet2TimeStamp,DrawAllocationSnippet2Comment,DrawAllocationSnippet2Status,FloatMathSnippet1Response,FloatMathSnippet1TimeStamp,FloatMathSnippet1Comment,FloatMathSnippet1Status,FloatMathSnippet2Response,FloatMathSnippet2TimeStamp,FloatMathSnippet2Comment,FloatMathSnippet2Status,HandlerLeakSnippet1Response,HandlerLeakSnippet1TimeStamp,HandlerLeakSnippet1Comment,HandlerLeakSnippet1Status,HandlerLeakSnippet2Response,HandlerLeakSnippet2TimeStamp,HandlerLeakSnippet2Comment,HandlerLeakSnippet2Status,RecycleSnippet1Response,RecycleSnippet1TimeStamp,RecycleSnippet1Comment,RecycleSnippet1Status,RecycleSnippet2Response,RecycleSnippet2TimeStamp,RecycleSnippet2Comment,RecycleSnippet2Status,UseSparseArraysSnippet1Response,UseSparseArraysSnippet1TimeStamp,UseSparseArraysSnippet1Comment,UseSparseArraysSnippet1Status,UseSparseArraysSnippet2Response,UseSparseArraysSnippet2TimeStamp,UseSparseArraysSnippet2Comment,UseSparseArraysSnippet2Status,UsevalueOfSnippet1Response,UsevalueOfSnippet1TimeStamp,UsevalueOfSnippet1Comment,UsevalueOfSnippet1Status,UsevalueOfSnippet2Response,UsevalueOfSnippet2TimeStamp,UsevalueOfSnippet2Comment,UsevalueOfSnippet2Status,ViewHolderSnippet1Response,ViewHolderSnippet1TimeStamp,ViewHolderSnippet1Comment,ViewHolderSnippet1Status,ViewHolderSnippet2Response,ViewHolderSnippet2TimeStamp,ViewHolderSnippet2Comment,ViewHolderSnippet2Status
group_2_user_7,Agree,1568181726,Null,NONREFACTORED,Disagree,1568181876,Null,NONREFACTORED,Agree,1568178139,Null,REFACTORED,Disagree,1568178271,Null,NONREFACTORED,Agree,1568182696,Null,NONREFACTORED,Agree,1568182976,Null,NONREFACTORED,Agree,1568177157,Null,REFACTORED,Agree,1568177611,Null,NONREFACTORED,Disagree,1568182300,Null,NONREFACTORED,Agree,1568182326,Null,REFACTORED,Agree,1568181038,Null,NONREFACTORED,Disagree,1568181253,Null,REFACTORED,Agree,1568178593,Null,REFACTORED,Disagree,1568179778,Null,NONREFACTORED
group_2_user_8,Strongly disagree,1564335670,Null,NONREFACTORED,Strongly disagree,1564338167,Null,NONREFACTORED,Neither agree nor disagree,1564335398,Depends on which platform this code is running on.,REFACTORED,Neither agree nor disagree,1564335425,Null,NONREFACTORED,Neither agree nor disagree,1564338360,It's not about faster or slower its about memory leak.,NONREFACTORED,Neither agree nor disagree,1564338485,its not about code performance the performance addition of right side where we have a Weak Reference to activity and null check should be minimal. It's actually about memory leak.,NONREFACTORED,Disagree,1564335138,Null,REFACTORED,Agree,1564335218,Null,NONREFACTORED,Strongly disagree,1564338208,Null,NONREFACTORED,Strongly agree,1564338241,Null,REFACTORED,Disagree,1564335596,Null,NONREFACTORED,Strongly agree,1564335616,Null,REFACTORED,Strongly agree,1564335490,Null,REFACTORED,Strongly disagree,1564335527,Null,NONREFACTORED
group_2_user_9,Strongly disagree,1565936226,Null,NONREFACTORED,Strongly agree,1565936237,Null,NONREFACTORED,Don't know,1565935973,Null,REFACTORED,Don't know,1565936011,Null,NONREFACTORED,Strongly disagree,1565936327,Null,NONREFACTORED,Strongly agree,1565936354,Null,NONREFACTORED,Disagree,1565935846,Null,REFACTORED,Strongly agree,1565935897,Null,NONREFACTORED,Strongly agree,1565936270,Null,NONREFACTORED,Strongly disagree,1565936287,Null,REFACTORED,Strongly disagree,1565936153,Null,NONREFACTORED,Strongly agree,1565936174,Null,REFACTORED,Strongly agree,1565936058,Null,REFACTORED,Strongly disagree,1565936102,Null,NONREFACTORED
group_3_user_1,Agree,1563353998,Null,NONREFACTORED,Don't know,1563354083,Null,REFACTORED,Agree,1563354358,FloatMath has no .exp() or .pow() prior to API level 17,REFACTORED,Disagree,1563354495,Null,NONREFACTORED,Don't know,1563354539,Null,NONREFACTORED,Disagree,1563354613,Null,REFACTORED,Strongly agree,1563355358,Null,REFACTORED,Strongly agree,1563355497,Null,REFACTORED,Agree,1563355205,"SparseArray is intended to be more memory efficient than using a HashMap to map Integers to Objects, both\nbecause it avoids auto-boxing keys and its data structure doesn't\nrely on an extra entry object for each mapping.",REFACTORED,Disagree,1563355233,Null,NONREFACTORED,Disagree,1563353830,Null,REFACTORED,Disagree,1563353854,Null,REFACTORED,Agree,1563353571,Null,NONREFACTORED,Neither agree nor disagree,1563353766,Null,REFACTORED
group_3_user_3,Agree,1563779539,Null,NONREFACTORED,Agree,1563779596,Null,REFACTORED,Disagree,1563779667,Null,REFACTORED,Agree,1563779696,Null,NONREFACTORED,Disagree,1563779908,Null,NONREFACTORED,Disagree,1563779952,Null,REFACTORED,Disagree,1563780256,Null,REFACTORED,Disagree,1563780277,Null,REFACTORED,Disagree,1563779999,Null,REFACTORED,Disagree,1563780087,Null,NONREFACTORED,Agree,1563779264,Null,REFACTORED,Agree,1563779365,Null,REFACTORED,Agree,1563778039,Null,NONREFACTORED,Disagree,1563778174,Null,REFACTORED
group_3_user_4,Neither agree nor disagree,1567171400,Null,NONREFACTORED,Agree,1567171430,Null,REFACTORED,Agree,1567171460,Null,REFACTORED,Don't know,1567171460,Null,NONREFACTORED,Neither agree nor disagree,1567171610,"In the right code, if NanoConverter is null then it's faster than left code. In case it's not null it becomes slower.",NONREFACTORED,Don't know,1567171696,Null,REFACTORED,Strongly disagree,1567171855,left code it's not faster but you'd want to recycle the bitmap.,REFACTORED,Strongly disagree,1567171890,Null,REFACTORED,Strongly agree,1567171739,Null,REFACTORED,Disagree,1567171768,Null,NONREFACTORED,Agree,1567171091,"As per Java documentation, Long.valueOf should be preferred to new Long(long) although in normal apps won't make any noticeable difference.",REFACTORED,Don't know,1567171152,Null,REFACTORED,Strongly disagree,1567170721,Null,NONREFACTORED,Neither agree nor disagree,1567170911,"Strongly agree if we are actually recycling the view. In case it's the first time we pass through then there's no difference, actually left side it's slightly slower.",REFACTORED
group_3_user_5,Disagree,1568910423,Null,NONREFACTORED,Agree,1568910512,Null,REFACTORED,Agree,1568910605,Null,REFACTORED,Neither agree nor disagree,1568910672,Null,NONREFACTORED,Neither agree nor disagree,1568910851,Null,NONREFACTORED,Agree,1568910884,Null,REFACTORED,Don't know,1568911109,Null,REFACTORED,Don't know,1568911131,Null,REFACTORED,Agree,1568910991,Null,REFACTORED,Disagree,1568911036,Null,NONREFACTORED,Disagree,1568165681,Null,REFACTORED,Disagree,1568165714,Null,REFACTORED,Neither agree nor disagree,1568165549,Null,NONREFACTORED,Disagree,1568165634,Null,REFACTORED
group_3_user_6,Strongly disagree,1563370304,Null,NONREFACTORED,Strongly disagree,1563370310,Null,REFACTORED,Strongly agree,1563370406,Null,REFACTORED,Strongly agree,1563370412,Null,NONREFACTORED,Don't know,1563370591,Null,NONREFACTORED,Don't know,1563370599,Null,REFACTORED,Strongly disagree,1563371494,Null,REFACTORED,Strongly disagree,1563371498,Null,REFACTORED,Strongly disagree,1563371338,Null,REFACTORED,Strongly disagree,1563371338,Null,NONREFACTORED,Strongly agree,1563370161,Null,REFACTORED,Agree,1563370267,Null,REFACTORED,Strongly disagree,1563369948,Null,NONREFACTORED,Strongly disagree,1563369959,Null,REFACTORED
group_3_user_8,Disagree,1566038499,Null,NONREFACTORED,Disagree,1566038572,Null,REFACTORED,Agree,1566038839,Null,REFACTORED,Agree,1566038876,Null,NONREFACTORED,Strongly agree,1566111892,Null,NONREFACTORED,Disagree,1566112019,Null,REFACTORED,Disagree,1566139329,Null,REFACTORED,Strongly disagree,1566139379,Null,REFACTORED,Neither agree nor disagree,1566112207,Null,REFACTORED,Neither agree nor disagree,1566139270,Null,NONREFACTORED,Strongly agree,1566038343,Null,REFACTORED,Agree,1566038405,Null,REFACTORED,Disagree,1565899951,Null,NONREFACTORED,Agree,1565900050,Null,REFACTORED
group_3_user_9,Disagree,1567445135,Null,NONREFACTORED,Agree,1567445161,Null,REFACTORED,Disagree,1567445201,Null,REFACTORED,Disagree,1567445212,Null,NONREFACTORED,Agree,1567445227,Null,NONREFACTORED,Agree,1567445239,Null,REFACTORED,Agree,1567445291,Null,REFACTORED,Agree,1567445298,Null,REFACTORED,Agree,1567445270,Null,REFACTORED,Agree,1567445276,Null,NONREFACTORED,Strongly agree,1567445081,Null,REFACTORED,Agree,1567445103,Null,REFACTORED,Strongly disagree,1567444949,Null,NONREFACTORED,Strongly disagree,1567444965,Null,REFACTORED
